Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
,,,,,,
C1,100n,C_0402_1005Metric,286.55,-117.45,180,top
C2,100n,C_0402_1005Metric,286.555,-118.4,180,top
C3,100n,C_0402_1005Metric,283.875,-122.825,90,top
C4,100n,C_0402_1005Metric,282.925,-122.825,90,top
C5,100n,C_0402_1005Metric,278.4,-122.9,90,top
C6,100n,C_0402_1005Metric,278.35,-109.474999,-90,top
C7,100n,C_0402_1005Metric,272.975,-116.875,0,top
C8,100n,C_0402_1005Metric,297.825,-113.474999,180,top
C9,1u,C_0402_1005Metric,284.825,-122.825,-90,top
C10,100n,C_0402_1005Metric,286.55,-116.5,0,top
C11,100n,C_0402_1005Metric,272.975,-117.825,180,top
C12,1u,C_0402_1005Metric,285.775,-122.825,-90,top
C13,1u,C_0402_1005Metric,298.65,-116.7,180,top
C14,1u,C_0402_1005Metric,300.109619,-122.652882,-90,top
C15,15p,C_0402_1005Metric,270.25,-115.725,180,top
C16,15p,C_0402_1005Metric,270.25,-120.675,0,top
C17,100n,C_0402_1005Metric,282.75,-109.475,-90,top
D1,D_Small,Diode_SOD-123_noref2,1.15,-59.175,90,top
D2,D_Small,Diode_SOD-123_noref2,39.25,-59.175,90,top
D3,D_Small,Diode_SOD-123_noref2,58.3,-59.175,90,top
D4,D_Small,Diode_SOD-123_noref2,77.35,-59.175,90,top
D5,D_Small,Diode_SOD-123_noref2,96.4,-59.175,90,top
D6,D_Small,Diode_SOD-123_noref2,124.975,-59.175,90,top
D7,D_Small,Diode_SOD-123_noref2,144.025,-59.175,90,top
D8,D_Small,Diode_SOD-123_noref2,163.075,-59.175,90,top
D9,D_Small,Diode_SOD-123_noref2,182.125,-59.175,90,top
D10,D_Small,Diode_SOD-123_noref2,210.7,-59.175,90,top
D11,D_Small,Diode_SOD-123_noref2,229.75,-59.175,90,top
D12,D_Small,Diode_SOD-123_noref2,248.8,-59.175,90,top
D13,D_Small,Diode_SOD-123_noref2,267.85,-59.175,90,top
D14,D_Small,Diode_SOD-123_noref2,291.6625,-59.175,90,top
D15,D_Small,Diode_SOD-123_noref2,310.7125,-59.175,90,top
D16,D_Small,Diode_SOD-123_noref2,310.7125,-51.3375,90,top
D17,D_Small,Diode_SOD-123_noref2,1.15,-82.9875,90,top
D18,D_Small,Diode_SOD-123_noref2,20.2,-82.9875,90,top
D19,D_Small,Diode_SOD-123_noref2,39.25,-82.9875,90,top
D20,D_Small,Diode_SOD-123_noref2,58.3,-82.9875,90,top
D21,D_Small,Diode_SOD-123_noref2,77.35,-82.9875,90,top
D22,D_Small,Diode_SOD-123_noref2,96.4,-82.9875,90,top
